iso3,year,hs27_import_value,all_import_value,exp_imp,exp_imp_pct
BRN,2019,1722195107.04,5102674118.71,0.3375083469910843,33.75083469910843
BRN,2020,1952617695.88,5342500814.64,0.3654875803723346,36.54875803723346
BRN,2021,5697902324.24,8574738526.0,0.6644986674477635,66.44986674477636
BRN,2022,6226623773.58,9183899326.299,0.6779934701319569,67.79934701319569
BRN,2023,4773597144.392,7484472312.892,0.6378000939584587,63.78000939584587
BRN,2024,4810331630.226,7294535925.625,0.6594431337746613,65.94431337746613
BTN,2016,169203252.77,999940997.888,0.16921323670834415,16.921323670834415
BTN,2017,191281885.739,1025827461.143,0.18646594382048362,18.646594382048363
BTN,2018,219537859.615,1043363227.775,0.2104136448082135,21.04136448082135
BTN,2019,196907544.977,979333511.88,0.20106280709112254,20.106280709112255
BTN,2020,137977746.492,891728631.504,0.15473064519559626,15.473064519559626
BTN,2022,242732437.228,1568916229.182,0.15471344659016983,15.471344659016983
BTN,2023,238831986.633,1289872122.512,0.18515942973314245,18.515942973314246
BWA,2015,1677706961.868,8048007054.683,0.20846241193237655,20.846241193237656
BWA,2016,789704554.0,6102721575.0,0.12940202896279107,12.940202896279107
BWA,2017,783052428.805,5339295303.12,0.14665838548907864,14.665838548907864
BWA,2018,851077157.27,6460540582.469,0.13173466622583263,13.173466622583263
BWA,2019,833637312.826,6657430605.349,0.12521907658432116,12.521907658432117
BWA,2020,854613072.52,6605141603.255,0.12938603346502797,12.938603346502797
BWA,2021,1007523925.063,8462769246.193,0.11905369220793033,11.905369220793032
BWA,2022,1497762938.326,8114914546.663,0.18456915716283262,18.456915716283262
BWA,2023,1318710332.98,6417467724.96,0.20548764551647503,20.5487645516475
CAF,2015,1968915.0,456596903.0,0.004312151455832367,0.4312151455832367
CAF,2016,1283322.0,401319710.0,0.003197754727770535,0.3197754727770535
CAF,2017,3352154.703,418721339.431,0.008005693494282474,0.8005693494282474
CAF,2018,22369108.0,384386438.0,0.05819432162172173,5.819432162172173
CAF,2019,80719967.486,567831533.822,0.14215478126528905,14.215478126528906
CAF,2020,70700158.646,544916439.295,0.12974495454288404,12.974495454288403
CAF,2021,29624907.213,485045021.133,0.06107661334982925,6.107661334982925
CAF,2022,28666192.168,623380390.016,0.04598507207976856,4.598507207976856
CAF,2023,100150820.885,742447514.231,0.13489279574022492,13.489279574022492
CAF,2024,206435622.85,779481167.772,0.2648372165809436,26.48372165809436
CAN,2015,29477487531.553,419374729376.088,0.07028913634211398,7.028913634211397
CAN,2016,25262321156.25,402287821924.144,0.06279663409998403,6.279663409998403
CAN,2017,30137532772.597,433045052733.088,0.0695944511601951,6.959445116019509
CAN,2018,36668210059.666,459945043260.697,0.07972302473294064,7.972302473294064
CAN,2019,33068829256.554,453651555186.53,0.0728947776734876,7.28947776734876
CAN,2020,20058675919.736,405204923044.594,0.04950254742469771,4.950254742469771
CAN,2021,30330198565.707,491691971781.561,0.06168536463145974,6.168536463145974
CAN,2022,45013816188.947,571773402336.481,0.07872667039950378,7.872667039950378
CAN,2023,38255441387.121,558529223348.125,0.06849317777465122,6.849317777465122
CAN,2024,34965964617.972,540564723578.05,0.0646841406640983,6.468414066409831
CHE,2015,8853938255.583,251189810218.734,0.03524799930328808,3.5247999303288076
CHE,2016,6903505919.726,269279966266.047,0.02563690873648349,2.563690873648349
CHE,2017,8197703076.984,267493892985.607,0.03064631863361865,3.064631863361865
CHE,2018,9668904177.869,278671370444.363,0.034696438900240045,3.4696438900240043
CHE,2019,9298436076.283,276388086970.536,0.03364268039987645,3.3642680399876452
CHE,2020,5838838654.968,290402110277.216,0.020106047608931914,2.0106047608931914
CHE,2021,10895881027.128,323356086951.794,0.03369622984320799,3.369622984320799
CHE,2022,23086106544.394,356235312307.771,0.06480577794165633,6.480577794165633
CHE,2023,14355647359.123,365372487609.004,0.039290444261598056,3.9290444261598054
CHE,2024,11379142118.468,371362270836.038,0.030641621435722157,3.0641621435722155
CHL,2015,8997323377.432,62318853350.232,0.14437562461021283,14.437562461021283
CHL,2016,7903675697.849,59284693229.218,0.13331730784690532,13.331730784690532
CHL,2017,10050103970.661,65168267859.466,0.15421775506345875,15.421775506345876
CHL,2018,12748962543.742,74611747376.92,0.17087071395523565,17.087071395523566
CHL,2019,11685377610.986,69854853685.708,0.16728082580433173,16.728082580433174
CHL,2020,7662963036.168,59200756086.71,0.12944029000143567,12.944029000143567
CHL,2021,14003836249.282,92190957181.481,0.15190032382151078,15.190032382151077
